Car Make,Car Model,Car Start Year,Car Stop Year,K-MOD,K-TYPE,Car Type,Number of Doors,Car Variation,Solution type,Complete Front Rack ID,Complete Front Rack Name,Complete Rear Rack ID,Complete Rear Rack Name,Bar ID,Bar Name,Foot ID,Foot Name,RackSolution Kit ID,RackSolution Kit Name,CarMiscellaneous,ChassisCode,CompatibleBarForCaprock,CompatibleRackForTent,CompatibleRoofForTent,CompatibleRoofForTent LOV ID,Data product Color Specification,Data product Webtitle1,FootAttachment,RackProduct,Rooftop Tent Compatible
SKODA,Fabia,2007,2014,06363,"[""9409"",""133148"",""133135"",""133226"",""33315"",""33314"",""33311"",""33243"",""33679"",""33681"",""33876"",""22950"",""22944"",""22946"",""22945"",""22948"",""22947"",""22949""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711200,Thule WingBar Evo,710500,Thule Evo Clamp,145120,Thule Kit 145120,,Mk. II,Yes,Yes,No,1166247,Aluminum,Thule WingBar Evo,Clamp,WingBar Evo,
MG,3,2024,,,,Hatchback,5-dr,med normalt tak,Roof rack,,,,,711320,Thule WingBar Evo,710500,Thule Evo Clamp,145410,Thule Kit 145410,,,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
VOLKSWAGEN,Polo,2009,2017,08025,"[""11897"",""11896"",""31606"",""31607"",""100795"",""100796"",""100797"",""109492"",""109340"",""10254"",""107747"",""58385"",""107947"",""113381"",""30972"",""30975"",""30973"",""30974"",""108640"",""33491"",""122087"",""56205"",""56019"",""105717"",""105727"",""101150"",""101154"",""32813"",""32819""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711320,Thule WingBar Evo,710500,Thule Evo Clamp,145015,Thule Kit 145015,,Mk V,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
HYUNDAI,Elantra,2016,2021,36491,"[""128261"",""128002"",""120284"",""123947"",""122182"",""119635""]",Sedan,4-dr,med normalt tak,Roof rack,,,,,711320,Thule WingBar Evo,710500,Thule Evo Clamp,145069,Thule Kit 145069,,AD,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
KIA,Picanto,2017,,37886,"[""128519"",""134386"",""142192"",""127065"",""127066"",""130097""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711200,Thule WingBar Evo,710500,Thule Evo Clamp,145053,Thule Kit 145053,,,Yes,Yes,No,1166247,Aluminum,Thule WingBar Evo,Clamp,WingBar Evo,
TOYOTA,Yaris (XP150),2017,2020,,,Sedan,4-dr,med normalt tak,Roof rack,,,,,711220,Thule WingBar Evo,710500,Thule Evo Clamp,145394,Thule Kit 145394,,XP150,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
TOYOTA,Corolla,2019,,39436,"[""137424"",""141256"",""136162"",""136959"",""135653"",""135652""]",Sedan,4-dr,med normalt tak,Roof rack,,,,,711220,Thule WingBar Evo,710500,Thule Evo Clamp,145209,Thule Kit 145209,,,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
SKODA,Fabia,2007,2014,06363,"[""9409"",""133148"",""133135"",""133226"",""33315"",""33314"",""33311"",""33243"",""33679"",""33681"",""33876"",""22950"",""22944"",""22946"",""22945"",""22948"",""22947"",""22949""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711220,Thule WingBar Evo,710500,Thule Evo Clamp,145120,Thule Kit 145120,,Mk. II,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
VAUXHALL,Astra Sports Tourer,2016,2022,14895,"[""134617"",""119065"",""117742"",""117741"",""117744"",""117736"",""117734"",""117739"",""117737"",""117738"",""141678"",""141679"",""141681"",""141680"",""141683"",""141682""]",Stasjonsvogn,5-dr,med integrerte relinger og klemfot,Roof rack,,,,,711320,Thule WingBar Evo,710500,Thule Evo Clamp,145026,Thule Kit 145026,,K,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
AUDI,A1,2012,2018,09730,"[""11783"",""11784"",""11782"",""11787"",""11788"",""11785"",""11786"",""55103"",""100772"",""109413"",""108157"",""108164"",""108161"",""108168"",""118026"",""112021""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711320,Thule WingBar Evo,710500,Thule Evo Clamp,145024,Thule Kit 145024,,,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
FORD,Explorer Electric,2024,,,,SUV,5-dr,med normalt tak,Roof rack,,,,,711320,Thule WingBar Evo,710500,Thule Evo Clamp,145389,Thule Kit 145389,,,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
POLESTAR,2,2021,,40402,"[""143879"",""144835"",""139223""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711300,Thule WingBar Evo,710500,Thule Evo Clamp,145261,Thule Kit 145261,,,Yes,Yes,No,1166247,Aluminum,Thule WingBar Evo,Clamp,WingBar Evo,
CITROËN,C4,2010,2018,09006,"[""12018"",""132542"",""58667"",""117927"",""113664"",""108163"",""112027"",""463"",""467"",""434"",""475"",""472"",""470"",""115056""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711320,Thule WingBar Evo,710500,Thule Evo Clamp,145117,Thule Kit 145117,,,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
VOLKSWAGEN,Golf,2013,2019,10585,"[""128344"",""118645"",""45814"",""124239"",""124240"",""100074"",""100075"",""120193"",""117575"",""107945"",""59071"",""59070"",""59068"",""59067"",""133745"",""59289"",""59120"",""59116"",""59115"",""106414"",""106229"",""106227"",""57461"",""57460"",""57462"",""57459"",""57456"",""126007"",""126840"",""126625"",""122080"",""56142"",""56145"",""56144"",""56147"",""105911"",""105912"",""105901"",""115362"",""140211"",""115566"",""101041"",""125997"",""125995"",""125943"",""135622""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711320,Thule WingBar Evo,710500,Thule Evo Clamp,145010,Thule Kit 145010,,VII,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
OPEL,Astra,2016,2022,14508,"[""128802"",""117726"",""117717"",""137735"",""137733"",""137734"",""137731"",""137730"",""137729"",""133203"",""132193"",""115686"",""115671"",""115673"",""115672"",""115675"",""115676"",""115669""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711300,Thule WingBar Evo,710500,Thule Evo Clamp,145146,Thule Kit 145146,,,Yes,Yes,No,1166247,Aluminum,Thule WingBar Evo,Clamp,WingBar Evo,
VOLKSWAGEN,e-Golf,2015,,10585,"[""128344"",""118645"",""45814"",""124239"",""124240"",""100074"",""100075"",""120193"",""117575"",""107945"",""59071"",""59070"",""59068"",""59067"",""133745"",""59289"",""59120"",""59116"",""59115"",""106414"",""106229"",""106227"",""57461"",""57460"",""57462"",""57459"",""57456"",""126007"",""126840"",""126625"",""122080"",""56142"",""56145"",""56144"",""56147"",""105911"",""105912"",""105901"",""115362"",""140211"",""115566"",""101041"",""125997"",""125995"",""125943"",""135622""]",Hatchback,5-dr,med normalt tak,Roof rack,,,,,711300,Thule WingBar Evo,710500,Thule Evo Clamp,145010,Thule Kit 145010,,,Yes,Yes,No,1166247,Aluminum,Thule WingBar Evo,Clamp,WingBar Evo,
TOYOTA,Prius +,2012,2015,09640,"[""10538""]",Stasjonsvogn,5-dr,med normalt tak,Roof rack,,,,,711300,Thule WingBar Evo,710500,Thule Evo Clamp,145129,Thule Kit 145129,,,Yes,Yes,No,1166247,Aluminum,Thule WingBar Evo,Clamp,WingBar Evo,
BMW,5-Series,2017,2023,37157,"[""143416"",""143608"",""143607"",""128090"",""128091"",""128029"",""128026"",""128183"",""128151"",""128153"",""128146"",""138695"",""138696"",""138694"",""138691"",""138723"",""138722"",""138720"",""142150"",""142153"",""123342"",""123340"",""123349"",""123348"",""123345"",""123346"",""123344"",""123334"",""123333"",""137811"",""123824"",""123825"",""123822"",""123823"",""131833"",""131832"",""141065"",""141064"",""141066"",""141094"",""141093"",""141737"",""141736"",""141450"",""141451"",""126257"",""136305"",""130639"",""140923"",""140925"",""140924"",""140927"",""140926"",""140929"",""140928"",""140930"",""125344"",""125343"",""125342"",""125345"",""131130"",""147751"",""147749""]",Sedan,4-dr,med faste punkter,Roof rack,,,,,711300,Thule WingBar Evo,710700,Thule Evo Fixpoint,187024,Thule Kit 187024,,G30,Yes,Yes,Yes,1166246,Aluminum,Thule WingBar Evo,Fix point,WingBar Evo,
MERCEDES BENZ,C-Class,2021,,41824,"[""143578"",""143579"",""143576"",""143581"",""143580"",""143630"",""143631"",""146621"",""146616"",""145133"",""145132"",""145134"",""147483"",""147678"",""147719""]",Sedan,4-dr,med faste punkter,Roof rack,,,,,711300,Thule WingBar Evo,710700,Thule Evo Fixpoint,187036,Thule Kit 187036,,W206,Yes,Yes,Yes,1166246,Aluminum,Thule WingBar Evo,Fix point,WingBar Evo,
LAND ROVER,Defender 90,2020,,,,SUV,3-dr,med T-profil,Roof rack,,,,,711320,Thule WingBar Evo,710700,Thule Evo Fixpoint,187122,Thule Kit 187122,,,Yes,Yes,Yes,1166246,Black,Thule WingBar Evo,Fix point,WingBar Evo,
SUBARU,WRX,2018,2021,14653,"[""100922"",""107654"",""54796"",""54797"",""131259""]",Sedan,4-dr,med faste punkter,Roof rack,,,,,711320,Thule WingBar Evo,710700,Thule Evo Fixpoint,187058,Thule Kit 187058,,,Yes,Yes,Yes,1166246,Black,Thule WingBar Evo,Fix point,WingBar Evo,
PEUGEOT,5008,2017,2024,37440,"[""134098"",""124953"",""124951"",""124952"",""124950"",""124949"",""124945"",""126191"",""126190"",""132146"",""130738"",""129838""]",SUV,5-dr,med normalt tak,Roof rack,,,,,711420,Thule WingBar Evo,710500,Thule Evo Clamp,145044,Thule Kit 145044,,,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
TOYOTA,Vigo,2004,2015,06889,"[""110594"",""34581"",""34585"",""34943"",""20709"",""25198"",""25452"",""25453"",""25451"",""116996"",""28515"",""28483"",""28486"",""122436""]",Double Cab,4-dr,med normalt tak,Roof rack,,,,,711420,Thule WingBar Evo,710500,Thule Evo Clamp,145091,Thule Kit 145091,,,Yes,Yes,No,1166247,Black,Thule WingBar Evo,Clamp,WingBar Evo,
